MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,COMMON_NAME_USE,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, BLUELINE",1077
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, GOLDEN",1078
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, GOLDFACE",1079
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,TOMTATE,1080
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,"TRIGGERFISH, GRAY",1081
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,"TRIGGERFISH, QUEEN",1082
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,WENCHMAN,1083
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"AMBERJACK, GREATER",1084
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"AMBERJACK, LESSER",1085
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,AMBERJACKS,1086
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"BASS, BANK SEA",1087
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"BASS, BLACK SEA",1088
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"BASSES, MIXED SEA",1089
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,Caulolatilus,1090
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,Centropristis melana,1091
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, BLACK",1092
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, GAG",1093
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, GOLIATH",1094
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, MISTY",1095
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, NASSAU",1096
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, RED",1097
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, SNOWY",1098
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, WARSAW",1099
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, YELLOWEDGE",1100
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, YELLOWFIN",1101
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, YELLOWMOUTH",1102
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"GRUNT, WHITE",1103
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"HIND, RED",1104
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"HIND, ROCK",1105
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"HIND, SPECKLED",1106
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,HOGFISH,1107
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"JACK, ALMACO",1108
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PERCH, DWARF SAND",1109
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PERCH, SAND",1110
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,PIGFISH,1111
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,PINFISH,1112
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, GRASS",1113
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, JOLTHEAD",1114
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, KNOBBED",1115
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, LITTLEHEAD",1116
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, RED",1117
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"RUDDERFISH, BANDED",1118
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,SCAMP,1119
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,SCHOOLMASTER,1120
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, BLACKFIN",1121
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, CARDINAL",1122
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, CUBERA",1123
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, DOG",1124
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, GRAY",1125
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, LANE",1126
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, MAHOGANY",1127
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, MUTTON",1128
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, QUEEN",1129
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, RED",1130
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, SILK",1131
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, VERMILION",1132
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, YELLOWTAIL",1133
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, ANCHOR",1134
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, BLACKLINE",1135
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, BLUELINE",1136
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, GOLDEN",1137
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, GOLDFACE",1138
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,TOMTATE,1139
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TRIGGERFISH, GRAY",1140
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,"TRIGGERFISH, QUEEN",1141
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,WENCHMAN,1142
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"AMBERJACK, GREATER",1143
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"AMBERJACK, LESSER",1144
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,AMBERJACKS,1145
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"BASS, BANK SEA",1146
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"BASS, BLACK SEA",1147
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"BASSES, MIXED SEA",1148
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,Caulolatilus,1149
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,Centropristis melana,1150
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, BLACK",1151
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, GAG",1152
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, GOLIATH",1153
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, MISTY",1154
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, NASSAU",1155
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, RED",1156
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, SNOWY",1157
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, WARSAW",1158
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, YELLOWEDGE",1159
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, YELLOWFIN",1160
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GROUPER, YELLOWMOUTH",1161
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"GRUNT, WHITE",1162
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"HIND, RED",1163
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"HIND, ROCK",1164
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"HIND, SPECKLED",1165
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,HOGFISH,1166
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"JACK, ALMACO",1167
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PERCH, DWARF SAND",1168
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PERCH, SAND",1169
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,PIGFISH,1170
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,PINFISH,1171
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, GRASS",1172
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, JOLTHEAD",1173
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, KNOBBED",1174
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, LITTLEHEAD",1175
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"PORGY, RED",1176
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"RUDDERFISH, BANDED",1177
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,SCAMP,1178
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,SCHOOLMASTER,1179
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, BLACKFIN",1180
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, CARDINAL",1181
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, CUBERA",1182
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, DOG",1183
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, GRAY",1184
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, LANE",1185
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, MAHOGANY",1186
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, MUTTON",1187
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, QUEEN",1188
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, RED",1189
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, SILK",1190
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, VERMILION",1191
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"SNAPPER, YELLOWTAIL",1192
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, ANCHOR",1193
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, BLACKLINE",1194
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, BLUELINE",1195
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, GOLDEN",1196
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TILEFISH, GOLDFACE",1197
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,TOMTATE,1198
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TRIGGERFISH, GRAY",1199
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,"TRIGGERFISH, QUEEN",1200
