MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,COMMON_NAME_USE,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRUNKFISH, SMOOTH",4925
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRUNKFISH, SPOTTED",4926
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,WENCHMAN,4927
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, CLOWN",4928
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, CREOLE",4929
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, YELLOWCHEEK",4930
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, YELLOWHEAD",4931
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"RAZORFISH, PEARLY",4932
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"RAZORFISH, GREEN",4933
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"AMBERJACK, GREATER",4934
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"ANGELFISH, FRENCH",4935
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"ANGELFISH, GRAY",4936
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"ANGELFISH, QUEEN",4937
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BASS, CHALK",4938
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BASS, HARLEQUIN",4939
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BASS, LANTERN",4940
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BASS, ORANGEBACK",4941
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BASS, PEPPERMINT",4942
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,BEAUGREGORY,4943
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BEAUTY, ROCK",4944
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,BIGEYE,4945
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BLENNY, REDLIP",4946
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,BLUEHEAD,4947
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BREAM, SEA",4948
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BUTTERFLYFISH, BANDED",4949
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BUTTERFLYFISH, FOUREYE",4950
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BUTTERFLYFISH, LONGSNOUT",4951
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"BUTTERFLYFISH, SPOTFIN",4952
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,CHERUBFISH,4953
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"CHROMIS, BLUE",4954
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,CONCHFISH,4955
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"COWFISH, HONEYCOMBED",4956
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"COWFISH, SCRAWLED",4957
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,CREOLE-FISH,4958
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,Calamus pennatula,4959
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DAMSELFISH, BICOLOR",4960
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DAMSELFISH, DUSKY",4961
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DAMSELFISH, THREESPOT",4962
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DAMSELFISH, YELLOWTAIL",4963
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DIVER, SAND",4964
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,DOCTORFISH,4965
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DRUM, SPOTTED",4966
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"DURGON, BLACK",4967
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"EEL, GOLDSPOTTED",4968
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"FILEFISH, SCRAWLED",4969
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"FILEFISH, WHITESPOTTED",4970
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,FLAMEFISH,4971
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"FLOUNDER, PEACOCK",4972
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,FROGFISHES,4973
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GOATFISH, SPOTTED",4974
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GOATFISH, YELLOW",4975
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GOBY, RUSTY",4976
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GOBY,NEON",4977
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GRAMMA, ROYAL",4978
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,GRAYSBY,4979
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, BLACK",4980
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, CONEY",4981
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, GOLIATH",4982
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, MISTY",4983
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, NASSAU",4984
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, RED",4985
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, TIGER",4986
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, YELLOWEDGE",4987
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GROUPER, YELLOWFIN",4988
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GRUNT, BLUESTRIPED",4989
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GRUNT, FRENCH",4990
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GRUNT, WHITE",4991
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"GURNARD, FLYING",4992
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"HAMLET, BUTTER",4993
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"HAWKFISH, REDSPOTTED",4994
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,HIGH-HAT,4995
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"HIND, RED",4996
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"HIND, ROCK",4997
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,HOGFISH,4998
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"HOGFISH, SPANISH",4999
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JACK, ALMACO",5000
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JACK, BAR",5001
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JACK, BLACK",5002
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JACK, HORSE-EYE",5003
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JACK, YELLOW",5004
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,JACKKNIFE-FISH,5005
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JAWFISH, DUSKY",5006
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"JAWFISH, YELLOWHEAD",5007
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"MAJOR, SERGEANT",5008
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,MARGATE,5009
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"MORAY, CHAIN",5010
