MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,CLUSTER
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,HANDLINE,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP KING MACKEREL SOUTH OF 34°37.3' N. LAT.,"MACKEREL, KING",351
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ROD AND REEL,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP KING MACKEREL SOUTH OF 34°37.3' N. LAT.,"MACKEREL, KING",352
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ROD AND REEL,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP KING MACKEREL SOUTH OF 34°37.3' N. LAT.,"MACKEREL, KING",353
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,AUTOMATIC REEL,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",354
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,AUTOMATIC REEL,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",355
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,BANDIT GEAR,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",356
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BANDIT GEAR,SOUTH ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",357
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ROD AND REEL,MID ATLANTIC,ALL,COBIA,358
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ROD AND REEL,MID ATLANTIC,ALL,COBIA,359
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,PELAGIC LONGLINE,MID ATLANTIC,ALL,COBIA,360
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,PELAGIC LONGLINE,MID ATLANTIC,ALL,COBIA,361
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,AUTOMATIC REEL,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",362
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,AUTOMATIC REEL,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",363
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,BANDIT GEAR,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",364
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BANDIT GEAR,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",365
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,HANDLINE,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",366
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,HANDLINE,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",367
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ROD AND REEL,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",368
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ROD AND REEL,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",369
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,CAST NET,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",370
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,CAST NET,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",371
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,RUN-AROUND GILLNET,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",372
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,RUN-AROUND GILLNET,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",373
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,STAB NET,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",374
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,STAB NET,MID ATLANTIC,ATLANTIC MIGRATORY GROUP SPANISH MACKEREL,"MACKEREL, SPANISH",375
HARVEST METHOD,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GILLNET,SOUTH ATLANTIC,OFF FLORIDA - NORTH OF 25°20.4' N. LAT.,"MACKEREL, SPANISH",376
SEA BASS POT/TRAP SPECIFICATIONS,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,SEA BASS POT/TRAP,SOUTH ATLANTIC,BETWEEN CAPE HATTERAS NORTH CAROLINA AND CAPE CANAVERAL FLORIDA,ALL,377
GILLNET SPECIFICATIONS,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GILLNET,GULF OF MEXICO,ALL,"MACKEREL, SPANISH",378
GILLNET SPECIFICATIONS,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GILLNET,GULF OF MEXICO,ALL,"MACKEREL, KING",379
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,HANDLINE,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (XVIII) AND (E)(1)(XXII) THROUGH (XXIX),ALL,380
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,HANDLINE,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (XVIII) AND (E)(1)(XXII) THROUGH (XXIX),ALL,381
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ROD AND REEL,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (XVIII) AND (E)(1)(XXII) THROUGH (XXIX),ALL,382
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ROD AND REEL,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (XVIII) AND (E)(1)(XXII) THROUGH (XXIX),ALL,383
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,SPEARFISHING,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (XVIII) AND (E)(1)(XXII) THROUGH (XXIX),ALL,384
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,SPEARFISHING,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (XVIII) AND (E)(1)(XXII) THROUGH (XXIX),ALL,385
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,EXPLOSIVES,SOUTH ATLANTIC,ALL,ALL,386
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,EXPLOSIVES,SOUTH ATLANTIC,ALL,ALL,387
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,DRIFT GILLNET,SOUTH ATLANTIC,ALL,ALL,388
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,DRIFT GILLNET,SOUTH ATLANTIC,ALL,ALL,389
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,DRIFT GILLNET,GULF OF MEXICO,ALL,ALL,390
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,DRIFT GILLNET,GULF OF MEXICO,ALL,ALL,391
BRD REQUIREMENT,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,TRAWL,GULF OF MEXICO,ALL,BRD REQUIREMENTS: PENAEID SHRIMP,392
BRD REQUIREMENT,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,TRAWL,GULF OF MEXICO,ALL,BRD REQUIREMENTS: PENAEID SHRIMP,393
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,BOTTOM LONGLINE,SOUTH ATLANTIC,SMZ - (A)1 THROUGH (A)19,ALL,394
TRAP SPECIFICATIONS,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,FISH TRAPS,GULF OF MEXICO,FCZ SHOREWARD OF THE 50-FATHOM ISOBATH,ALL,395
BRD REQUIREMENT,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,TRAWL,GULF OF MEXICO,EAST OF 85°30' W. LONG.,BRD REQUIREMENTS: ALL SHRIMP SPECIES EXCEPT ROYAL RED,396
BRD REQUIREMENT,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,TRAWL,GULF OF MEXICO,EAST OF 85°30' W. LONG.,BRD REQUIREMENTS: ALL SHRIMP SPECIES EXCEPT ROYAL RED,397
TRAWL SPECIFICATIONS,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,TRAWL,SOUTH ATLANTIC,OFF GEORGIA AND FLORIDA,"SHRIMP, ROCK",398
TRAWL SPECIFICATIONS,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,TRAWL,SOUTH ATLANTIC,OFF GEORGIA AND FLORIDA,"SHRIMP, ROCK",399
SEA BASS POT/TRAP SPECIFICATIONS,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SEA BASS POT/TRAP,SOUTH ATLANTIC,SEA BASS POT ALLOWABLE AREA,ALL,400
FISHING SEASON,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,"SNAPPER, RED",401
PERMIT MORATORIUM,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,ALL,402
PROHIBITED SPECIES,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"PARROTFISH, BLUE",403
PROHIBITED SPECIES,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"PARROTFISH, BLUE",404
TURTLE RELEASE GEAR,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,405
TURTLE RELEASE GEAR,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,406
TURTLE RELEASE GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,407
TURTLE RELEASE GEAR,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,408
CLOSURE,ONCE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,WEST AND EAST FLOWER GARDEN BANKS HAPC,ALL,409
CLOSURE,ONCE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,410
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,411
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,412
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,ALL,413
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,414
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - STETSON BANK,ALL,415
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,416
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,ALL,417
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,418
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,ALL,419
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,WEST AND EAST FLOWER GARDEN BANKS HAPC,ALL,420
HARVEST METHOD,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,ALL,ALL,421
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,WEST AND EAST FLOWER GARDEN BANKS HAPC,ALL,422
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,423
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,424
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,425
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,426
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,ALL,427
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - STETSON BANK,ALL,428
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,ALL,429
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,ALL,430
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,431
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,432
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,433
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,434
HARVEST METHOD,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,ALL,ALL,435
CLOSURE,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,ALL,436
CLOSURE,ONCE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,DREDGE,GULF OF MEXICO,WEST AND EAST FLOWER GARDEN BANKS HAPC,ALL,437
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,WEST AND EAST FLOWER GARDEN BANKS HAPC,ALL,438
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,439
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - STETSON BANK,ALL,440
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,441
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,442
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,443
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,444
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,445
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - STETSON BANK,ALL,446
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BUOY GEAR,GULF OF MEXICO,HAPC - STETSON BANK,ALL,447
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,448
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,449
CLOSURE,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - STETSON BANK,ALL,450
HARVEST METHOD,ONCE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,ALL,ALL,451
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM LONGLINE,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,452
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,BOTTOM TRAWL,GULF OF MEXICO,HAPC - MCGRAIL BANK,ALL,453
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,POTS AND TRAPS,GULF OF MEXICO,HAPC - PULLEY RIDGE,ALL,454
LIMITED ACCESS SYSTEM,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,ALL,SOUTH ATLANTIC,OFF GEORGIA AND FLORIDA,"SHRIMP, ROCK",455
BRD REQUIREMENT,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,TRAWL,SOUTH ATLANTIC,ALL,"SHRIMP, ROCK",456
BRD REQUIREMENT,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,TRAWL,SOUTH ATLANTIC,ALL,"SHRIMP, ROCK",457
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,TRAWL,SOUTH ATLANTIC,SMZ - (E)(1)(I) THROUGH (E)(1)(XVIII) AND (E)(1)(XXII) THROUGH (E)(1)(XXXIX),ALL,458
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,DIVING,CARIBBEAN,ALL,"CONCH, QUEEN",459
PROHIBITED GEAR,ONCE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,DIVING,CARIBBEAN,ALL,"CONCH, QUEEN",460
FISHING YEAR,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,"SHRIMP, ROYAL RED",461
FISHING YEAR,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,"SHRIMP, ROYAL RED",462
PERMITTED AND AUTHORIZED GEAR,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,BOTTOM LONGLINE,SOUTH ATLANTIC,ALL,ALL,463
HARVEST METHOD,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,ALL,464
HARVEST METHOD,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,ALL,465
TRAP SPECIFICATIONS,ONCE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,GOLDEN CRAB TRAP,SOUTH ATLANTIC,ALL,ALL,466
FISHING SEASON,ONCE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,"GROUPER, SNOWY",467
PERMIT MORATORIUM,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,ALL,468
FISHING SEASON,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,"SNAPPER, RED",469
FISHING YEAR,ONCE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,"DRUM, RED",470
FISHING YEAR,ONCE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,"DRUM, RED",471
