MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,QUEEN CONCH RESOURCES OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,29
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,30
CLOSURE,ONCE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,31
CLOSURE,ONCE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,32
CLOSURE,ONCE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,33
CLOSURE,ONCE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,34
CLOSURE,ONCE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,35
CLOSURE,ONCE,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,RECREATIONAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,36
CLOSURE,ONCE,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,COMMERCIAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,37
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,AREA CLOSURE RELATED TO DEEPWATER HORIZON OIL SPILL,ALL,38
